slug,score,category,note
creme-fraiche,3,,bowl of cream + ghost halo
crouton,3,,single small crouton
cubanelle-pepper,3,,"bowl of peppers, colors a bit off, ghost"
cucumber-juice,3,,glass of green juice + lid
cumin,3,,"cumin plant illustration, seeds secondary"
cuttlefish,3,,"cuttlefish, ok"
dashi,3,,bonito flakes pile
date-sugar,3,,"brown powder, reads as brown sugar"
dried-hibiscus-flower,3,,"fresh hibiscus, not dried, but recognizable"
dry-tapioca,3,,plate of tapioca + odd bits
egg,3,,"quail eggs, not the expected chicken egg"
enoki-mushroom,3,,"enoki, ghost reflection below"
epazote,3,,epazote sprig
fig,3,,botanical illustration of fig plant + fruit
five-spice-powder,3,,spice jar + cap
focaccia-bread,3,,slice of focaccia
foie-gras,3,,plated foie gras dish
fried-onion,3,,"fried mass, reads as fried onion"
ginger-beer,3,,ginger beer bottles
goat-cheese,3,,white cheese chunks/logs
goat-meat,3,,"hanging goat carcass, a bit graphic"
goose,3,,plated goose slices with garnish
gorgonzola,3,,gorgonzola chunks
gourd,3,,decorative gourds in basket
grapeseed-oil,3,,bottle of oil
grappa,3,,glass of grappa
green-tea,3,,bowls of tea leaves + matcha
gremolata,3,,bowl of chopped herb
gumbo-file,3,,bowl of gumbo + sauce bottles
hake-fillet,3,,"whole fish illustration, not a fillet"
ham-stock,3,,pot of stock with bones
harissa,3,,red harissa paste + decorative flowers
hearts-of-palm,3,,sliced hearts of palm + knife
hemp-milk,3,,glass of milk + seeds
herbes-de-provence,3,,jars of herbs
herring-fillet,3,,can of herring
hershey-s-syrup,3,,chocolate syrup over ice cream
hoisin-sauce,3,,dark sauce + fried food
hollandaise-sauce,3,,yellow sauce over food
hot-bean-paste,3,,reddish flakes pile
kohlrabi,3,,kohlrabi + ghost
kombu,3,,dark kelp sheets
koshi-an,3,,bowl of red bean paste
lard,3,,white lard blob + knife
leek,3,,leek greens only
lemon-pepper,3,,decorative bowl of seasoning
lemon-verbena,3,,lemon verbena sprig
light-cheese,3,,packaged sliced cheese
liquid-smoke,3,,spoon of dark liquid
lobster-stock,3,,pot of stock
lotus-seed,3,,lotus seeds + ghost
lychee,3,,small cluster of lychees
maca,3,,maca roots + ghost
macadamia,3,,"macadamia nuts on branch, in shell"
mace,3,,mace + dark bowl
marinara-sauce,3,,red saucy dish
marzipan,3,,rolling pin + marzipan slab
masala,3,,spice pile + ghost
meat,3,,board of assorted meats
meatball,3,,pot of meatballs/stew
melba-toast,3,,"toast + toppings on plate, ghost"
mesclun,3,,mesclun salad on bread
mirin,3,,bowl of amber liquid
monkfish-fillet,3,,"whole monkfish, not a fillet"
msg,3,,pile of white crystals
mushroom-stock,3,,pot of stock
mustard-powder,3,,pile of seeds/powder
oatmeal,3,,pile of oats
okonomiyaki-sauce,3,,okonomiyaki dish with sauce
oregano,3,,"oregano with flowers, ghost"
ovaltine,3,,dish of powder + spoon
oyster,3,,"single oyster, pale/murky"
pappadams,3,,pappadums
pate,3,,plated pate dish
pawpaw,3,,pawpaw fruit illustration
peppermint,3,,peppermint leaves + ghost
phyllo-pastry,3,,baked filled phyllo
pie-crust,3,,a baked meat pie
pimento,3,,small red pimento pepper
pimento-cheese,3,,plate of pimento cheese
pimiento,3,,small red pepper
pineapple,3,,pineapple with odd flowering base
pisco,3,,"Pisco bottles, small"
pita-bread,3,,pita bread
plum-wine,3,,glass of plum wine
polenta,3,,polenta dish with sausage
pomegranate-seed,3,,"whole pomegranate + juice, not just seeds"
pork-fat,3,,pork/ham slices
portabella-mushroom,3,,"mushrooms, look like button not portabella"
praline,3,,pink praline crumble
puff-pastry,3,,rolled pastry sheet
quail,3,,plated quail dish
quail-egg,3,,plated dish with quail eggs
quatre-epices,3,,ground spice pile + fork
quince,3,,"quince on branch, illustration"
red-chile,3,,"mostly yellow chilies, color off for red"
refried-bean,3,,refried beans in pan
relish,3,,bowls of relish + ghost
remoulade-sauce,3,,green-flecked sauce disc
rennet,3,,"bottle of animal rennet, labeled"
rice-cake,3,,decorated rice cake
rice-milk,3,,glass of rice milk + grated bits
ricotta-cheese,3,,"ricotta tubs + spoon, ghost"
rum,3,,glass of rum
sake,3,,sake cup/set
salad-dressing,3,,salad with dressing
salsa-verde,3,,spill of green salsa
sambhar-powder,3,,"bowl of sambar soup, not the powder"
sansho-pepper,3,,branch with berries/leaves
sauvignon-blanc-wine,3,,"green grapes, not wine"
savoy-cabbage,3,,savoy leaf + ghost
scallop,3,,scallop shell
schmaltz,3,,pale fat blob
scone,3,,plate of scones
seitan,3,,plate of seitan strips
sesame-oil,3,,vial of oil
sesame-paste,3,,tahini bowls + lemon
shiso,3,,purple shiso leaves + ghost
shortening,3,,jar of shortening in basket
smoked-trout,3,,a smoker apparatus with fish
snap-pea,3,,snap peas + ghost
snow-pea,3,,"single snow pea pod, small"
soup,3,,asparagus + bowl of soup + spoon
sour-cream,3,,"plate/dish, not clearly sour cream"
sour-milk,3,,glass of milk
soy-oil,3,,bottles of oil
soybean,3,,"dried soybean plant sprig, sparse"
squab,3,,whole raw squab/pigeon
star-fruit,3,,"star fruit whole + slices, ghost"
steak-sauce,3,,A1 sauce boxes row
stock,3,,pot of stock
suet,3,,chunk of raw fat
sugar-cane,3,,sugar cane stalks illustration
sun-dried-tomato,3,,sun-dried tomatoes + heavy ghost
surimi,3,,bowl of pale paste
sweet-potato,3,,sweet potato + ghost
sweetbread,3,,plated sweetbread dish
taco-sauce,3,,bowls of sauce on a plate
tahini,3,,tahini bowls + lemon
tandoori-masala,3,,"spice tin, labeled"
tapioca,3,,plate of tapioca + odd bits
tarama,3,,plate of taramasalata + veg
tea,3,,bowl of tea leaves
teriyaki-sauce,3,,teriyaki dish
tilapia-fillet,3,,"whole tilapia, not a fillet"
tom-yum-paste,3,,"bowl of tom yum soup, not paste"
tostada,3,,tostada plate
treacle,3,,dish of treacle + spoon
tripe,3,,pale folded tripe
triple-sec,3,,bottle + pineapple + limes
turkey-liver,3,,liver + onions dish
turmeric,3,,fresh turmeric root + ghost
umeboshi,3,,umeboshi plum
veal-stock,3,,pot of stock
whole-grain-mustard,3,,"dish of mustard, grain not obvious"
yellowfin-tuna-fillet,3,,"whole tuna, not a fillet"
absinthe,4,,"glass+spoon serve, iconic"
agave-nectar,4,,clear branded syrup bottle
aioli,4,,"bowl+spoon, recognizable"
albacore-tuna,4,,"whole tuna, clean"
aleppo-pepper,4,,"red pepper flakes pile, accurate"
almond-milk,4,,glass+jug of milk
amaretti,4,,"amaretti cookies, clean"
andouille-sausage,4,,"sausage, recognizable"
angostura-bitter,4,,branded bottle + glass
annatto-seed,4,,"open pod with red seeds, accurate"
apple-cider,4,,two glasses of cider
apple-juice,4,,glasses of juice with apple
arctic-char,4,,"fish, clean"
armagnac,4,,branded bottle
asian-pear,4,,"asian pears, clean"
avocado,4,,"two whole avocados, no cut flesh"
bacon,4,,cooked bacon strip
bagel,4,,"sesame bagel, clean"
baileys-irish-cream,4,,bottle + glass
banana,4,,bunches of bananas/plantains
bay-leaf,4,,dried bay leaves
bean,4,,"green beans, reads fine"
bearnaise-sauce,4,,bowl of sauce + tarragon
bechamel-sauce,4,,pot of bechamel + spoon
biscotti,4,,"biscotti slice, clean"
black-mushroom,4,,shiitake mushrooms
black-pudding,4,,slice of black pudding
black-tea,4,,cup of tea
blueberry,4,,"few blueberries, clean"
bluefish,4,,fish illustration
bolognese-sauce,4,,pasta with bolognese
bonito-flake,4,,bonito flakes pile
bouquet-garni,4,,tied herb bundle
bran-flake,4,,bowl of bran flakes
brandy,4,,brandy snifter
bread,4,,seeded bread rolls
bresaola,4,,cured meat pieces
broth,4,,jar of broth + spoon
brown-bread,4,,slice of brown bread
bun,4,,sesame buns
burrata-cheese,4,,burrata ball in bowl
butterfish,4,,B&W fish illustration
buttermilk,4,,two glasses of milk
cabbage,4,,"cabbage, clean"
cabbage-kimchi,4,,kimchi
cardamom,4,,cardamom pods pile
carp,4,,carp fish
carrot,4,,carrots with greens
carrot-juice,4,,glass of juice + carrots
caviar,4,,caviar on spoon + pile
celeriac,4,,celeriac root
chai-tea,4,,pouring chai into cup
challah,4,,challah loaf
charcoal,4,,"charcoal chunks, clean"
cheddar-cheese,4,,cheddar wedge
cheesecake,4,,cheesecake slice + berries
cherry-brandy,4,,kirschwasser bottle
cherry-pepper,4,,red cherry pepper
cherry-syrup,4,,bottle + glass of syrup
chestnut-mushroom,4,,mushrooms
chicken,4,,"roasted whole chicken, appealing"
chickpea-flour,4,,pile of yellow flour
chili-bean,4,,"chili in bowl, recognizable"
chili-oil,4,,dish of chili oil
chimichurri-sauce,4,,bowl of green sauce
chinese-eggplant,4,,purple eggplants
chinese-sausage,4,,strings of chinese sausage
chipotle-chile,4,,dried chipotle chiles
chocolate-wafer,4,,wafer cookies
cider,4,,glass of cider
cinnamon,4,,cinnamon sticks + cloves
clotted-cream,4,,tub of cream
cocoa-butter,4,,block of cocoa butter
coconut,4,,coconuts whole + cut
cod,4,,cod fish
coffee,4,,latte + dish of coffee
cognac,4,,cognac snifter
colby-cheese,4,,orange cheese block
coleslaw,4,,coleslaw pile
collard-green,4,,"collard greens, clean"
comte-cheese,4,,comte on board
cookie,4,,chocolate chip cookie
corn-flake,4,,bowl of corn flakes
cornbread,4,,cornbread round
cornmeal,4,,pile of cornmeal
cottage-cheese,4,,bowl of cottage cheese
couscous,4,,bowl of couscous
cream-cheese,4,,"Philadelphia tub, branded"
creme-anglaise,4,,bowl of pale custard sauce
creme-de-menthe,4,,glass of green liquid
crepe,4,,stack of crepes
crostini,4,,topped crostini
crumpet,4,,buttered crumpet
curry,4,,bowl of curry
custard,4,,bowl of custard
dal,4,,lentil piles
delicata-squash,4,,delicata squash
dragee,4,,colorful dragees
drambuie,4,,Drambuie bottle
dried-kasha,4,,kasha pile + butter
dry-onion,4,,onions whole + cut
duck,4,,roasted duck
dulce-de-leche,4,,bowl of caramel
dumpling,4,,plate of dumplings
eau-de-vie,4,,eau-de-vie bottles
edam-cheese,4,,edam wheel with red wax
edamame,4,,edamame pods
eel,4,,grilled eel dish
egg-yolk,4,,"egg yolk, clean"
eggnog,4,,glass of eggnog
eggplant,4,,"eggplants, clean"
elderberry,4,,elderberries
english-muffin,4,,muffins + butter on plate
escargot,4,,escargot dish
feta-cheese,4,,"feta block, clean"
fish,4,,generic fish illustration
fish-cake,4,,fish cakes with sauce
fish-roe,4,,roe on spoon + pile
fish-sauce,4,,bowl of amber sauce
flounder,4,,B&W flounder illustration
fontina,4,,fontina cheese in basket
french-fry,4,,french fries
fromage-blanc,4,,tub + spoon of fromage blanc
fudge,4,,fudge pieces
gai-lan,4,,"gai lan, clean"
galliano,4,,Galliano bottle + glass
gherkin,4,,gherkin pickle
giardiniera,4,,giardiniera mix
ginger-ale,4,,mug of ginger ale
gingerbread,4,,gingerbread cake slice
gnocchi,4,,gnocchi dish
goat-s-milk,4,,glass of milk
golden-syrup,4,,bowl of amber syrup
goldschlager,4,,Goldschlager bottle
gooseberry,4,,green gooseberries
gouda-cheese,4,,gouda wheels
grand-marnier,4,,bottle + glass
granola-cereal,4,,granola with fruit + yogurt
grape-juice,4,,glass of grape juice
gravy,4,,gravy boat
green-lentil,4,,bowl of green lentils
green-onion,4,,green onions/scallions
green-salad,4,,plated salad
grouper,4,,grouper fish
gruyere,4,,gruyere wheel + wedge
guacamole,4,,bowl of guacamole
haddock,4,,fish
halibut,4,,B&W halibut illustration
halloumi-cheese,4,,halloumi slices + parsley
ham,4,,ham
haricot-bean,4,,"white beans, clean"
hazelnut,4,,"hazelnuts, clean"
hazelnut-butter,4,,jar of hazelnut butter
hominy,4,,bowl of hominy
honey,4,,jar of honey + dipper
hummus,4,,bowl of hummus
jackfruit,4,,whole jackfruit
juniper-berry,4,,juniper berries on branch
kefalotiri,4,,cheese wedges
kefir,4,,glass of kefir
ketchup,4,,bowl of ketchup
ketjap-manis,4,,bottle of kecap manis
kirsch,4,,kirsch bottle
kiwi,4,,"kiwi slices, appealing"
lavender,4,,lavender sprigs
lemonade,4,,glass of lemonade
lentil,4,,assorted lentil piles
licor-43,4,,Licor 43 bottle
lillet-blanc,4,,Lillet bottle
linguine,4,,dry linguine fan
liqueur,4,,Beirao bottle
liverwurst,4,,liverwurst slices
macaroon,4,,macaroons
madeira-wine,4,,Madeira bottle + glass
mahi-mahi,4,,mahi-mahi fish
maitake-mushroom,4,,maitake mushroom
malted-milk,4,,Carnation malted milk tin
manchego-cheese,4,,manchego wedges on board
mandarin-orange,4,,single mandarin
maple-syrup,4,,maple syrup bottle
marmalade,4,,jar of marmalade
mascarpone,4,,tub of mascarpone
matcha-green-tea-powder,4,,matcha powder pile
mayonnaise,4,,jar of mayo
meatloaf,4,,sliced meatloaf
melon,4,,assorted melons
meringue,4,,swirl of meringue
mezcal,4,,mezcal bottles
milk,4,,glass of milk
miso,4,,mound of miso paste
mizithra-cheese,4,,white cheese ball
mizuna,4,,mizuna greens
mochi-rice,4,,mound of glutinous rice
molasses,4,,molasses pouring from ladle
monterey-jack-cheese,4,,Vella cheese wheel with label
mortadella,4,,mortadella
mozzarella-cheese,4,,mozzarella ball
muenster-cheese,4,,orange-rinded cheese slice
muffin,4,,muffins
mung-bean,4,,green mung beans pile
mushroom,4,,"cluster of mushrooms, slight ghost"
mustard,4,,dish of mustard
mustard-seed,4,,pile of mustard seeds
mutton,4,,mutton cut
navy-bean,4,,"white navy beans, clean"
nopales,4,,nopales cactus pads
nori,4,,nori sheets
nutella,4,,Nutella jar + on bread
nutmeg,4,,nutmeg + mace in bowls
old-bay-seasoning,4,,"Old Bay box, branded"
olive-oil,4,,olive oil bottle + olives
onion,4,,assorted onions
orange-roughy,4,,orange roughy fish illustration
orange-zest,4,,orange being zested + curls
orgeat-syrup,4,,Orzata bottle
oxtail,4,,oxtail pieces
oyster-mushroom,4,,oyster mushrooms
